Name,Address,City,Rating,Review Count,Coordinates,Price
Sound Rental by My Aunt Sue,"['Santa Monica, CA 90404']",Santa Monica,5.0,15,"{'latitude': 34.02875, 'longitude': -118.4717975}",
King Film USA Group,"['1909 W Burbank Blvd', 'Burbank, CA 91506']",Burbank,2.5,12,"{'latitude': 34.1810340881348, 'longitude': -118.332138061523}",
Manhattan Beach Studios,"['1600 Rosecrans Ave', 'Bldg 7, Ste 101', 'Manhattan Beach, CA 90266']",Manhattan Beach,5.0,8,"{'latitude': 33.901611, 'longitude': -118.3842111}",
LA Color,"['Los Angeles, CA 90034']",Los Angeles,5.0,63,"{'latitude': 34.0306777954102, 'longitude': -118.399559020996}",
Westside Production Rentals,"['5601 W Slauson Ave', 'Ste 170', 'Culver City, CA 90230']",Culver City,5.0,11,"{'latitude': 33.98971, 'longitude': -118.37976}",
Studio Depot,"['2212 Kenmere Ave', 'Burbank, CA 91504']",Burbank,3.0,18,"{'latitude': 34.1934664, 'longitude': -118.3349627}",3.0
Cliques Photo Booth,"['Los Angeles, CA 91325']",Los Angeles,5.0,20,"{'latitude': 34.0522342, 'longitude': -118.2436849}",
PhotoFilmStage,"['820 Thompson Ave', 'Ste 34', 'Glendale, CA 91210']",Glendale,4.0,20,"{'latitude': 34.168352, 'longitude': -118.295635}",
Band of Vices Art Gallery,"['5376 W Adams Blvd', 'Los Angeles, CA 90016']",Los Angeles,5.0,2,"{'latitude': 34.03221, 'longitude': -118.36045}",
JGV Studios,"['14630 Titus St', 'Unit B', 'Panorama City, CA 91402']",Panorama City,5.0,7,"{'latitude': 34.21924, 'longitude': -118.45214}",
Nick Metropolis Collectible Furniture,"['1846 W Adams Blvd', 'Los Angeles, CA 90018']",Los Angeles,4.5,217,"{'latitude': 34.032499, 'longitude': -118.3045956}",2.0
Tiger Lab Productions,"['7100 De Celis Pl', 'Van Nuys, CA 91406']",Van Nuys,5.0,21,"{'latitude': 34.1994591, 'longitude': -118.4944284}",
Cineville,"['3400 Airport Ave', 'Santa Monica, CA 90405']",Santa Monica,1.0,1,"{'latitude': 34.0160999, 'longitude': -118.4453018}",
Pivotal Video Productions,"['3625 E Thousand Oaks Blvd', 'Ste 118', 'Westlake Village, CA 91362']",Westlake Village,5.0,24,"{'latitude': 34.1655307, 'longitude': -118.8294559}",
Sound City Center Stage,"['15464 Cabrito Rd', 'Van Nuys, CA 91406']",Van Nuys,5.0,1,"{'latitude': 34.2169430851936, 'longitude': -118.470175489783}",
IE Photo Rentals,"['558 W 2nd St', 'Unit B', 'Pomona, CA 91766']",Pomona,5.0,106,"{'latitude': 34.05744, 'longitude': -117.75514}",1.0
Mount Hua Studio,"['615 N Atlantic Blvd', 'Monterey Park, CA 91754']",Monterey Park,5.0,1,"{'latitude': 34.0687713623047, 'longitude': -118.134536743164}",
Fullerton Cameras,"['809 N Harbor Blvd', 'Fullerton, CA 92832']",Fullerton,4.0,147,"{'latitude': 33.8778629153967, 'longitude': -117.924384176731}",2.0
Industry Camera,"['3607 W Pacific Ave', 'Burbank, CA 91505']",Burbank,5.0,2,"{'latitude': 34.1886163, 'longitude': -118.3505338}",
Slickforce Studio,"['530 S Lake Ave', 'Ste 601', 'Pasadena, CA 91101']",Pasadena,5.0,3,"{'latitude': 34.1366527066242, 'longitude': -118.132135756535}",
Audio Video LA,"['600 S Spring St', 'Los Angeles, CA 90014']",Los Angeles,5.0,20,"{'latitude': 34.0455701, 'longitude': -118.250927}",
Shealy Shots Photography,"['418 Bamboo Ln', 'Ste A', 'Los Angeles, CA 90012']",Los Angeles,5.0,12,"{'latitude': 34.0659501, 'longitude': -118.2373798}",
CML Studios,"['326 Mira Loma Ave', 'Glendale, CA 91204']",Glendale,4.0,10,"{'latitude': 34.1238485, 'longitude': -118.2566823}",
Audio Rents,"['824 N Hollywood Way', 'Burbank, CA 91505']",Burbank,5.0,14,"{'latitude': 34.165349, 'longitude': -118.3455328}",
Shoot Cut Deliver,"['18420 Vincennes St', 'Ste 102', 'Northridge, CA 91325']",Northridge,5.0,13,"{'latitude': 34.2404363, 'longitude': -118.5347001}",
Christy's Editorial Film Supply,"['3625 W Pacific Ave', 'Burbank, CA 91505']",Burbank,2.5,4,"{'latitude': 34.1885073, 'longitude': -118.3505635}",3.0
Ametron,"['10919 Vanowen St', 'North Hollywood, CA 91605']",North Hollywood,3.5,76,"{'latitude': 34.194612, 'longitude': -118.3692321}",2.0
Studio Malibu,"['22509 Carbon Mesa Rd', 'Malibu, CA 90265']",Malibu,5.0,1,"{'latitude': 34.0418499, 'longitude': -118.65813}",
Pro Outdoor Movies,"['4719 Park Olivo', 'Calabasas, CA 91302']",Calabasas,5.0,6,"{'latitude': 34.153895, 'longitude': -118.635964}",
Rail Productions,"['Burbank, CA 91505']",Burbank,5.0,13,"{'latitude': 34.1729478, 'longitude': -118.3562091}",
Opulen Studios,"['1309 S Flower St', 'Los Angeles, CA 90015']",Los Angeles,4.5,31,"{'latitude': 34.0399292882856, 'longitude': -118.26696395874}",
Magic Jump Rentals,"['9130 Glenoaks Blvd', 'Ste C', 'Sun Valley, CA 91352']",Sun Valley,4.5,538,"{'latitude': 34.2356577062482, 'longitude': -118.3714872}",
Showbiz Restrooms,"['4000 Cohassett St', 'Burbank, CA 91354']",Burbank,5.0,19,"{'latitude': 34.205576, 'longitude': -118.355627}",
Alex Bonapart Photography & Videography,"['10915 Bluffside Dr', 'Studio City, CA 91604']",Studio City,4.0,5,"{'latitude': 34.1411236404587, 'longitude': -118.367681304263}",
The Jesus Wall  Studio,"['600 Moulton Ave', 'Ste 205', 'Los Angeles, CA 90031']",Los Angeles,5.0,44,"{'latitude': 34.0657134, 'longitude': -118.2188679}",
Silvio's Photoworks,"['22409 Hawthorne Blvd', 'Torrance, CA 90505']",Torrance,4.0,130,"{'latitude': 33.8245156, 'longitude': -118.3514791}",2.0
Remmet Studios,"['8033 Remmet Ave', 'Los Angeles, CA 91304']",Los Angeles,3.0,5,"{'latitude': 34.2163526188072, 'longitude': -118.600540468605}",
