Name,Address,City,Rating,Review Count,Coordinates,Price
MidiCi The Neapolitan Pizza Company,"['14612 Ventura Blvd', 'Sherman Oaks, CA 91403']",Sherman Oaks,4.0,3174,"{'latitude': 34.15104, 'longitude': -118.45129}",2.0
Shane Salk Productions,"['10707 Magnolia Blvd', 'Los Angeles, CA 91601']",Los Angeles,5.0,1,"{'latitude': 34.16502933, 'longitude': -118.36394767}",
Mvmnt Product Photography,"['Los Angeles , CA 90014']",Los Angeles ,5.0,4,"{'latitude': 34.04507827758789, 'longitude': -118.2535171508789}",
Lighthouse Graphics,"['Los Angeles, CA 90089']",Los Angeles,5.0,7,"{'latitude': 34.02139, 'longitude': -118.28963}",
Studios 60,"['6000 Avalon Blvd', 'Ste 2', 'Los Angeles, CA 90003']",Los Angeles,4.0,5,"{'latitude': 33.98526, 'longitude': -118.264473}",
Bunch of Munchies,"['14896 Springdale St', 'Huntington Beach, CA 92647']",Huntington Beach,5.0,24,"{'latitude': 33.7455071, 'longitude': -118.0242397}",
Red Flame,"['15667 Brookhurst St', 'Westminster, CA 92683']",Westminster,4.5,2618,"{'latitude': 33.7350609785224, 'longitude': -117.955526970327}",2.0
Steel House Productions,"['Sherman Oaks, CA 91411']",Sherman Oaks,5.0,5,"{'latitude': 34.1799855, 'longitude': -118.4601175}",
EXPG Studio LA LDH,"['6060 Hollywood Blvd', 'Los Angeles, CA 90028']",Los Angeles,5.0,1,"{'latitude': 34.10133, 'longitude': -118.32203}",
Force of Nature Productions,"['4735 Lankershim Blvd', 'North  Hollywood, CA 91602']",North  Hollywood,5.0,5,"{'latitude': 34.1565287, 'longitude': -118.369796}",
My Birth Movie,"['Los Angeles, CA 90068']",Los Angeles,5.0,4,"{'latitude': 34.1298675537109, 'longitude': -118.335456848145}",
City Market Social House,"['1145 South San Pedro St', 'Los Angeles, CA 90015']",Los Angeles,5.0,4,"{'latitude': 34.03428, 'longitude': -118.25333}",
Osteria La Buca,"['5210 Melrose Ave', 'Los Angeles, CA 90038']",Los Angeles,4.0,1952,"{'latitude': 34.0833366755519, 'longitude': -118.31393718099}",2.0
DJ Shanlynn,"['Los Angeles, CA 90012']",Los Angeles,5.0,2,"{'latitude': 34.05682, 'longitude': -118.24387}",
Arroyo Chop House,"['536 S Arroyo Pkwy', 'Pasadena, CA 91105']",Pasadena,4.0,1419,"{'latitude': 34.136691, 'longitude': -118.147255}",3.0
Brady Bunch House,"['11222 Dilling St', 'Los Angeles, CA 91604']",Los Angeles,4.5,43,"{'latitude': 34.142966, 'longitude': -118.375543}",
Center For The Cinematic Arts,"['4949 Hollywood Blvd', 'Fl 2nd', 'Los Angeles, CA 90025']",Los Angeles,5.0,1,"{'latitude': 34.101812647942, 'longitude': -118.29751751017}",
Soundworks,"['3401 W Burbank Blvd', 'Burbank, CA 91505']",Burbank,5.0,2,"{'latitude': 34.1760063171387, 'longitude': -118.347183227539}",
The Dream Factory LA Studio,"['1950 N Main St', 'Los Angeles, CA 90031']",Los Angeles,5.0,23,"{'latitude': 34.0652338, 'longitude': -118.2187862}",
HI DEF Entertainment,"['Los Angeles, CA 90011']",Los Angeles,5.0,1,"{'latitude': 34.00566, 'longitude': -118.25849}",
Imperial Art Studios,"['190 N Canon Dr', 'Ste 304', 'Beverly Hills, CA 90210']",Beverly Hills,3.5,3,"{'latitude': 34.0678152, 'longitude': -118.3977763}",
