Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories,Latitude,Longitude
Tough Guppy Productions,"['119 West 72nd St', 'Ste 224', 'New York, NY 10023']",New York,4.0,1,"{'latitude': 40.7779554, 'longitude': -73.9793544}",,NKE_zvuc9DQn3tZ3rJMgRA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'web_design', 'title': 'Web Design'}, {'alias': 'graphicdesign', 'title': 'Graphic Design'}]",40.7779554,-73.9793544
Starr Street Studios,"['207-A Starr St', 'Ste 3-1', 'Brooklyn, NY 11237']",Brooklyn,5.0,8,"{'latitude': 40.705122, 'longitude': -73.923457}",,rXjhzma0XIrxJEFt7q0tIg,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'photographystores', 'title': 'Photography Stores & Services'}]",40.705121999999996,-73.923457
Light and Shadow Filmmaking Workshops,"['632 Broadway', 'Ste 304', 'New York City, NY 10012']",New York City,4.5,12,"{'latitude': 40.72617, 'longitude': -73.99598}",,P1NxQi-BZCqMGKDyX3FKdw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.72617,-73.99598
Brain Fry Productions,"['2853 Steinway St', '2F', 'Astoria, NY 11103']",Astoria,5.0,2,"{'latitude': 40.630508, 'longitude': -74.028456}",,JT011x4Cb8CEQknaMUvuDQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'videographers', 'title': 'Videographers'}]",40.630508,-74.028456
Jersey Filmmaker,"['Jersey City, NJ 07302']",Jersey City,5.0,1,"{'latitude': 40.7218017578125, 'longitude': -74.0449295043945}",,WUGZNkVYpdOBK_aq2_Lr3Q,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7218017578125,-74.0449295043945
The Edit Center,"['168 7th St', 'Ste 314', 'Brooklyn, NY 11215']",Brooklyn,5.0,6,"{'latitude': 40.6728208, 'longitude': -73.9909742}",,xquyOYn9lYFTsfkMfevwMA,"[{'alias': 'specialtyschools', 'title': 'Specialty Schools'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.6728208,-73.99097420000001
MediaStorm,"['20 Jay St', 'Ste 528', 'Brooklyn, NY 11201']",Brooklyn,4.0,1,"{'latitude': 40.7040999, 'longitude': -73.9867}",,F32Bzj0ivroS181-_WVIlw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7040999,-73.9867
Central Casting New York,"['5 Penn Plaza', 'Fl 10', 'New York, NY 10001']",New York,3.5,23,"{'latitude': 40.751883, 'longitude': -73.994086}",,J0WfbffahJszN1_Xvl3K2g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.751883,-73.994086
New York Video Service,"['New York, NY 10034']",New York,5.0,4,"{'latitude': 40.8708152770996, 'longitude': -73.9230728149414}",,AEJwos4RDcK-jIRK0jRVNg,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.8708152770996,-73.9230728149414
Eastern Effects,"['99 9th St', 'Brooklyn, NY 11215']",Brooklyn,4.5,3,"{'latitude': 40.6734029529525, 'longitude': -73.9946415645175}",,GX0wthFRNbsBxzBFQEf-Xg,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'lighting', 'title': 'Lighting Fixtures & Equipment'}]",40.6734029529525,-73.9946415645175
