Name,Address,City,Rating,Review Count,Coordinates,Price
Andrew Towe Creative,"['New York, NY 10001']",New York,5.0,2,"{'latitude': 40.75095, 'longitude': -73.99811}",
Apostrophe Three,"['115 E 23rd St', 'New York, NY 10010']",New York,5.0,2,"{'latitude': 40.7400208, 'longitude': -73.985527}",
Contra Studios,"['122 W 26th St', 'New York, NY 10001']",New York,5.0,2,"{'latitude': 40.744998, 'longitude': -73.992588}",
Light and Shadow Filmmaking Workshops,"['632 Broadway', 'Ste 304', 'New York City, NY 10012']",New York City,4.5,12,"{'latitude': 40.72617, 'longitude': -73.99598}",
Tough Guppy Productions,"['119 West 72nd St', 'Ste 224', 'New York, NY 10023']",New York,4.0,1,"{'latitude': 40.7779554, 'longitude': -73.9793544}",
Video Data Services,"['406 Chestnut St', 'Union, NJ 07083']",Union,5.0,13,"{'latitude': 40.68066, 'longitude': -74.26877}",
Mida's Cave,"['424 W 49th St', 'New York, NY 10019']",New York,5.0,1,"{'latitude': 40.76315, 'longitude': -73.99068}",
Chemistry Creative,"['305 Ten Eyck St', 'Brooklyn, NY 11206']",Brooklyn,5.0,2,"{'latitude': 40.71166, 'longitude': -73.93671}",
Cameron Toy Recording & Production,"['353 Ten Eyck St', 'Brooklyn, NY 11206']",Brooklyn,5.0,3,"{'latitude': 40.711827725172, 'longitude': -73.9354415237904}",
Simba Productions,"['115 W 29th St', 'Ste 605', 'New York, NY 10001']",New York,5.0,1,"{'latitude': 40.74708, 'longitude': -73.99081}",
Drama Life Films,"['New York, NY 10016']",New York,5.0,3,"{'latitude': 40.7454071044922, 'longitude': -73.9792938232422}",
Yellow Hook Productions,"['Brooklyn, NY 11220']",Brooklyn,5.0,6,"{'latitude': 40.64045, 'longitude': -74.0176}",
Kelly's Creative,"['105 Chestnut St', 'Cranford, NJ 07016']",Cranford,5.0,1,"{'latitude': 40.654169, 'longitude': -74.301901}",
Chris Fig Productions,"['610 W 42nd St', 'Ste 31E', 'New York, NY 10036']",New York,5.0,4,"{'latitude': 40.76097, 'longitude': -73.99906}",
Brooklyn Wedding Videography,"['455 Pulaski St', 'Brooklyn, NY 11221']",Brooklyn,5.0,5,"{'latitude': 40.694338, 'longitude': -73.9321226}",
New York Printing Solutions,"['252 W 38th St', 'Fl 6', 'New York, NY 10018']",New York,5.0,16,"{'latitude': 40.7541168, 'longitude': -73.9906885}",
