Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories,Latitude,Longitude
Gopchang Story BBQ,"['312 5th Ave', 'Fl 2', 'New York, NY 10001']",New York,4.0,385,"{'latitude': 40.74701, 'longitude': -73.98583}",2.0,_vQugjzPLr-4udYpiISieA,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'korean', 'title': 'Korean'}]",40.74701,-73.98583
Mokbar Brooklyn,"['212 Flatbush Ave', 'Brooklyn, NY 11217']",Brooklyn,3.5,144,"{'latitude': 40.6811485290527, 'longitude': -73.9756774902344}",2.0,tWSjcyxwBccZkEyhry_aEQ,"[{'alias': 'korean', 'title': 'Korean'}]",40.6811485290527,-73.9756774902344
Little Dokebi,"['85 Driggs Ave', 'Brooklyn, NY 11222']",Brooklyn,4.0,130,"{'latitude': 40.723048, 'longitude': -73.942335}",2.0,iYjIBo73l5UHRfQGBaZaEg,"[{'alias': 'korean', 'title': 'Korean'}]",40.723048,-73.942335
Kimchee Market,"['191 Greenpoint Ave', 'Greenpoint, NY 11222']",Greenpoint,4.0,57,"{'latitude': 40.73063, 'longitude': -73.95195}",1.0,OMF0rN7FHM2KovR8hJVbKA,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'grocery', 'title': 'Grocery'}]",40.73063,-73.95195
Daesung Korean Noodle,"['45-04 162nd St', 'Flushing, NY 11358']",Flushing,4.5,313,"{'latitude': 40.75616, 'longitude': -73.80484}",2.0,3nvwvbbkJN2Cyp1VUuG6rA,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'noodles', 'title': 'Noodles'}]",40.75616,-73.80484
Soju Haus,"['315 5th Ave', 'Fl 2', 'New York, NY 10016']",New York,4.0,555,"{'latitude': 40.7468603, 'longitude': -73.9851724}",2.0,wfGFM8zvdw9Zs-jxsTdjww,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bars', 'title': 'Bars'}]",40.7468603,-73.9851724
Atomix,"['104 E 30th St', 'New York, NY 10016']",New York,4.5,77,"{'latitude': 40.74421, 'longitude': -73.98286}",4.0,NsACuDqm5AVPpUocvuXONg,"[{'alias': 'korean', 'title': 'Korean'}]",40.74421,-73.98286
K-Bap,"['62 W 56th St', 'New York, NY 10019']",New York,4.0,392,"{'latitude': 40.76332, 'longitude': -73.97717}",2.0,psqD5se4A0sv9Zn3PyUlcg,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'ramen', 'title': 'Ramen'}]",40.76332,-73.97717
Gammeeok,"['9 W 32nd St', 'Fl 2', 'New York, NY 10001']",New York,3.5,425,"{'latitude': 40.747653, 'longitude': -73.986114}",2.0,rtFGv0F-GBfsS-cViu-3hA,"[{'alias': 'korean', 'title': 'Korean'}]",40.747653,-73.986114
Itaewon Pocha,"['28 W 32nd St', 'Fl 2', 'New York, NY 10001']",New York,4.5,113,"{'latitude': 40.7475125111924, 'longitude': -73.9867554408843}",2.0,LSTcQPMmoSdd68zur-aNdw,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'korean', 'title': 'Korean'}]",40.7475125111924,-73.9867554408843
